======================================== [1] 2025-12-02 17:12:38
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                   9                  9
 31                  23                 23
 23                   3                  3
 20                  18                 18
 34                  27                 27
 16                  40                 40
 13                  41                 41
 10                  19                 19
 38                  10                 10
 28                  29                 29
 25                  25                 25
 14                  34                 34
 44                   7                  7
 43                   5                  5
 29                  30                 30
 37                  20                 20
  8                   0                  0
  5                   0                  0
 17                   7                  7
 30                   9                  9
  1                   0                  0
 27                  20                 20
 24                  56                 56
 15                  11                 11
  2                   0                  0
 33                  19                 19
  4                   0                  0
  6                   0                  0
 35                  38                 38
  3                   0                  0
 32                  21                 21
 39                  21                 21
  0                   0                  0
  9                  36                 36
 12                  26                 26
 18                  24                 24
 19                  17                 17
 42                  38                 38
 11                  28                 28
 40                  28                 28
 21                   4                  4
 36                  18                 18
  7                   0                  0
 22                  15                 15
 26                  33                 33

======================================== [21] 2025-12-02 17:14:55
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                   5                  5
 31                   8                  8
 23                  33                 33
 20                   9                  9
 34                  42                 42
 16                  13                 13
 13                  21                 21
 10                  35                 35
 38                  19                 19
 28                  13                 13
 25                  24                 24
 14                  31                 31
 44                  16                 16
 43                   7                  7
 29                  36                 36
 37                  14                 14
  8                   0                  0
  5                   0                  0
 17                  40                 40
 30                  13                 13
  1                   0                  0
 27                  12                 12
 24                  21                 21
 15                  30                 30
  2                   0                  0
 33                  14                 14
  4                   0                  0
  6                   0                  0
 35                  10                 10
  3                   0                  0
 32                  18                 18
 39                  41                 41
  0                   0                  0
  9                  28                 28
 12                  26                 26
 18                  15                 15
 19                  23                 23
 42                  47                 47
 11                   4                  4
 40                  22                 22
 21                  57                 57
 36                   9                  9
  7                   0                  0
 22                  10                 10
 26                  45                 45

======================================== [22] 2025-12-02 17:15:02
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                   6                  6
 31                  21                 21
 23                  36                 36
 20                  22                 22
 34                  25                 25
 16                  31                 31
 13                  12                 12
 10                  12                 12
 38                  31                 31
 28                  13                 13
 25                   5                  5
 14                  26                 26
 44                  23                 23
 43                  10                 10
 29                  13                 13
 37                  37                 37
  8                   0                  0
  5                   0                  0
 17                  16                 16
 30                  18                 18
  1                   0                  0
 27                  19                 19
 24                  40                 40
 15                  22                 22
  2                   0                  0
 33                   2                  2
  4                   0                  0
  6                   0                  0
 35                  13                 13
  3                   0                  0
 32                  16                 16
 39                  37                 37
  0                   0                  0
  9                   5                  5
 12                   4                  4
 18                  19                 19
 19                  34                 34
 42                  12                 12
 11                  13                 13
 40                  32                 32
 21                  53                 53
 36                  29                 29
  7                   0                  0
 22                  17                 17
 26                  25                 25

======================================== [23] 2025-12-02 17:15:08
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  20                 20
 31                   4                  4
 23                   9                  9
 20                  28                 28
 34                  10                 10
 16                  47                 47
 13                  10                 10
 10                  28                 28
 38                   5                  5
 28                  16                 16
 25                  14                 14
 14                   4                  4
 44                  61                 61
 43                  28                 28
 29                  11                 11
 37                  26                 26
  8                   0                  0
  5                   0                  0
 17                  33                 33
 30                  10                 10
  1                   0                  0
 27                  21                 21
 24                  17                 17
 15                  25                 25
  2                   0                  0
 33                  20                 20
  4                   0                  0
  6                   0                  0
 35                  22                 22
  3                   0                  0
 32                  48                 48
 39                  22                 22
  0                   0                  0
  9                  31                 31
 12                  16                 16
 18                   8                  8
 19                   5                  5
 42                  22                 22
 11                   7                  7
